,precision,recall,f1-score,support
java,0.3687103077674646,0.8485103991006183,0.5140473352630682,3558.0
c#,0.2542066814413527,0.8917362510797582,0.3956310679611651,3473.0
javascript,0.4173134328358209,0.833134684147795,0.5560859188544153,3356.0
python,0.8900552486187845,0.6167687595712098,0.7286295793758479,2612.0
android,0.9083333333333333,0.6929095354523227,0.7861303744798891,2045.0
c++,0.801707779886148,0.430244399185336,0.559973492379059,1964.0
ios,0.7647058823529411,0.5722826086956522,0.6546471868200187,1840.0
html,0.7172330097087378,0.3367521367521368,0.4583171772004654,1755.0
php,0.8688888888888889,0.48063921327596804,0.6189157103284527,1627.0
.net,0.8,0.012746972594008922,0.02509410288582183,1569.0
jquery,0.8261877172653534,0.4635890767230169,0.5939192003331945,1538.0
css,0.845222072678331,0.5552608311229,0.6702241195304163,1131.0
objective-c,0.8571428571428571,0.013513513513513514,0.026607538802660754,888.0
c,0.7547169811320755,0.0903954802259887,0.16145307769929362,885.0
sql,0.6943699731903485,0.29770114942528736,0.416733708769107,870.0
iphone,0.7538461538461538,0.06071871127633209,0.11238532110091742,807.0
asp.net,0.8037383177570093,0.10683229813664596,0.18859649122807018,805.0
mysql,0.8825757575757576,0.34014598540145985,0.4910432033719705,685.0
linux,0.8076923076923077,0.030882352941176472,0.059490084985835696,680.0
node.js,0.8247422680412371,0.23460410557184752,0.36529680365296807,682.0
git,0.8779342723004695,0.6824817518248175,0.7679671457905544,274.0
micro avg,0.46979169437867463,0.53440866723157,0.500021236532499,33044.0
macro avg,0.7485392020693036,0.40913572457227576,0.43577088765777106,33044.0
weighted avg,0.6705852409463675,0.53440866723157,0.4846421092927084,33044.0
samples avg,0.4182713631195615,0.44958461382594306,0.41069122210589903,33044.0
